,Project,Metric,os_mac,os_windows,dist_bionic,dist_focal,hw_arm64,py_3_6,py_3_8
0,seglearn,Score,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,seglearn,Processing_Time,114.67931345980126,133.83017163504968,0.9033423667570067,-0.13550135501355026,121.81571815718155,15.130984643179769,3.5230352303523067
2,seglearn,Expense,973.3965672990065,367.6603432700994,0.9033423667569977,-0.13550135501354726,121.81571815718159,15.130984643179785,3.5230352303523005
3,pymfe,Score,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,pymfe,Processing_Time,74.31757016532102,177.08573625528646,-16.532103037293357,-15.993848519800084,-4.882737408688966,13.802383698577476,2.037677816224535
5,pymfe,Expense,771.5878508266051,454.1714725105728,-16.532103037293354,-15.993848519800066,-4.882737408688971,13.802383698577477,2.03767781622452
6,netharn ,Score,1.9934273112513885,-4.272247686586523,6.771599065986327,1.9112687018939782,-1.279944651042122,5.521923376286432,1.8896480152209627
7,netharn ,Processing_Time,762.0793722649764,54.682360042251396,-5.583220159951717,-0.8389920024143614,79.00407424173835,352.2740304813641,-4.065187867813505
8,netharn ,Expense,4210.3968613248835,209.36472008450284,-5.583220159951704,-0.8389920024143614,79.00407424173834,352.2740304813641,-4.065187867813498
9,kernel-gof,Score,2.6354646836559925,1.038427646182068,0.3151584579959302,-6.596985333365237,-1.8648761576207689,4.967680981872215,1.0851653466282065
10,kernel-gof,Processing_Time,64.81802426343152,193.67417677642976,-18.804159445407283,-16.897746967071072,-5.719237435008685,16.24783362218371,1.7764298093587296
11,kernel-gof,Expense,724.0901213171577,487.3483535528596,-18.804159445407286,-16.897746967071058,-5.719237435008659,16.24783362218371,1.7764298093587527
12,Feature-Selection ,Score,-0.49074818103727175,-0.24501505026911513,0.06651220622155729,0.06651220622155729,0.06651220622155729,-0.04988415466616105,0.5751725063732218
13,Feature-Selection ,Processing_Time,47.49272080232935,126.30216758330637,-14.590747330960852,-13.684891620834671,-4.658686509220311,12.326108055645422,2.00582335813652
14,Feature-Selection ,Expense,637.4636040116468,352.6043351666127,-14.590747330960843,-13.684891620834684,-4.6586865092203045,12.326108055645419,2.005823358136529
15,tfdiffeq,Score,-0.42767686092536383,-0.22159951962941762,-0.199541687260786,-0.03574185800475392,-0.2397768074147012,-0.185857661624675,-0.47567307024602035
16,tfdiffeq,Processing_Time,127.18545578115707,133.13227423328522,-4.01835018265228,-2.4636819301673607,18.129300824059126,24.3479738339988,6.227168464871299
17,tfdiffeq,Expense,1035.9272789057854,366.2645484665705,-4.018350182652284,-2.4636819301673474,18.12930082405914,24.347973833998815,6.227168464871299
18,pescador,Score,-0.0909994736534496,0.10526931399494587,-0.1812971518802329,-0.10550324580386927,-0.12655710860285846,-0.3721855079244551,-0.3993215977542709
19,pescador,Processing_Time,202.57143440697698,152.93805273585096,1.2969506341782193,2.6653867363820103,62.647821735667165,78.21939911358018,-3.6825228242887245
20,pescador,Expense,1412.8571720348848,405.8761054717019,1.2969506341782107,2.665386736381997,62.647821735667144,78.2193991135802,-3.682522824288731
21,entropy,Score,0.043506587975371935,-0.1282470077624227,0.1606883549238856,-0.12110451840617593,-0.07065125763668738,-0.07353393423979,-0.0944606255266954
22,entropy,Processing_Time,86.05442176870746,142.14594928880643,-13.790970933828081,-12.368583797155233,10.977118119975247,20.346320346320347,2.5974025974025787
23,entropy,Expense,830.2721088435376,384.2918985776129,-13.790970933828076,-12.368583797155232,10.977118119975266,20.346320346320347,2.597402597402608
24,setka,Score,5.043438557962495,-4.41921292806301,6.596753153576918,3.3492058583495727,0.952340800635682,2.3540904557370337,8.376583208665481
25,setka,Processing_Time,1085.5140464453284,58.90004157510242,-1.1225277662291488,0.9918631585199041,6.485715982657224,495.37922432737423,8.398170695492063
26,setka,Expense,5827.570232226644,217.80008315020493,-1.1225277662291302,0.9918631585199358,6.485715982657244,495.37922432737423,8.398170695492094
27,spotlight,Score,-0.0006712181772905861,0.1409282038273794,-0.0270505173668932,0.01556971278362927,-0.0015973293333225492,-0.03242875921792003,-0.07744073515212241
28,spotlight,Processing_Time,14.044737807114036,45.04950495049505,-8.104143747708115,-8.379171250458384,-51.81518151815182,-20.993766043271002,28.49284928492848
29,spotlight,Expense,470.22368903557015,190.09900990099013,-8.1041437477081,-8.379171250458379,-51.81518151815182,-20.99376604327099,28.49284928492849
30,regain,Score,-0.005407634227615532,-0.06363626707146068,-0.05735954877153735,0.08603932315733281,0.06672634377298015,0.17391337935616563,-0.16049085868402457
31,regain,Processing_Time,10.380281690140848,60.69014084507042,-2.3169014084507022,-6.211267605633794,-42.908450704225345,3.852112676056336,2.345070422535206
32,regain,Expense,451.90140845070437,221.3802816901409,-2.3169014084506836,-6.2112676056337985,-42.908450704225345,3.8521126760563478,2.3450704225352106
33,pytorch-wrapper,Score,0.02617742612995078,0.004261441463012362,-0.005276070382772918,0.010755066549515972,0.042817340414105017,0.026380351913898387,0.021510133099031943
34,pytorch-wrapper,Processing_Time,114.74213588403508,51.99684449265357,-4.062715708510008,-5.423528251651717,8.174736219307754,-2.011635933339909,-2.4455181934720636
35,pytorch-wrapper,Expense,973.7106794201754,203.99368898530722,-4.062715708510013,-5.423528251651718,8.174736219307746,-2.0116359333399068,-2.445518193472048
36,rrcf,Score,0.6055908088111374,0.9681531473798294,1.128769538305116,0.34114967377132427,0.20606575623427825,1.5567858592879282,1.8717405590788248
37,rrcf,Processing_Time,117.57529546321004,128.021349599695,-0.8387342737323767,-0.8768585589020255,103.88867708730459,16.431566908120466,8.768585589020192
38,rrcf,Expense,987.8764773160501,356.0426991993899,-0.8387342737323767,-0.8768585589020155,103.8886770873046,16.43156690812046,8.768585589020194
39,healthcareai-py,Score,0.4698696111829102,0.8457653001292124,0.728297897333501,0.41113590978504155,-0.02349348055914225,0.8692587806883676,0.32890872782803066
40,healthcareai-py,Processing_Time,105.12820512820515,168.94185626579997,-14.626218851570966,-14.517876489707465,-1.9501625135427851,15.34850126399423,3.7558685446009465
41,healthcareai-py,Expense,925.6410256410254,437.88371253159994,-14.626218851570968,-14.517876489707483,-1.950162513542792,15.348501263994233,3.7558685446009292
42,choix,Score,3.9177834321339305e-05,-4.9814826953839574e-05,-0.00014228294129884888,-0.00012100895597772429,-0.00016987593211644688,-0.00010984537954449722,-9.152026349247626e-05
43,choix,Processing_Time,168.66585067319463,173.37821297429622,0.734394124847002,0.36719706242352135,190.75887392900862,33.90452876376991,1.4075887392900939
44,choix,Expense,1243.329253365973,446.75642594859244,0.734394124847002,0.3671970624234928,190.7588739290086,33.90452876376991,1.4075887392900939
45,recoder,Score,0.11543022173078582,-0.09633431298377455,-0.27021620206017993,0.0684542862131149,-0.2053628586393573,0.08011188383867207,-0.036991503229937724
46,recoder,Processing_Time,2.875912408759138,29.299270072992723,-10.189781021897817,-8.262773722627722,-37.98540145985401,-17.60583941605839,25.48905109489051
47,recoder,Expense,414.3795620437956,158.59854014598537,-10.18978102189783,-8.262773722627752,-37.98540145985402,-17.605839416058405,25.48905109489051
48,sherpa,Score,0.17061822376018948,0.1162975246304037,0.07165555248301457,0.16483993930912438,0.016021972439305317,0.09172473668293563,0.11733094084745124
49,sherpa,Processing_Time,18.662798139693653,10.304219823356227,0.4565430729188898,2.7221914067500177,20.83457780432649,2.1589793915603543,0.20907112685071158
50,sherpa,Expense,493.31399069846816,120.60843964671248,0.45654307291889207,2.7221914067500084,20.8345778043265,2.1589793915603543,0.2090711268506979
51,pyalcs,Score,-1.1595341014913718,-0.2860765972337369,-1.5924303756278,-1.5281469447689826,-0.8302680322688423,-1.5881584401589697,-1.1541379724780925
52,pyalcs,Processing_Time,79.68996321597474,120.88807146610611,-11.87598528638993,-9.905412506568586,-1.2086179716237762,11.718339464004172,12.926957435627932
53,pyalcs,Expense,798.4498160798738,341.7761429322123,-11.875985286389918,-9.905412506568585,-1.2086179716237588,11.718339464004186,12.926957435627958
54,scitime ,Score,-17.647079584799506,-13.176396678113736,0.0,0.0,-29.411681660801953,0.0,0.0
55,scitime ,Processing_Time,43.545568039950055,124.81897627965044,-8.08988764044943,-7.515605493133587,-9.787765293383258,11.935081148564294,0.4494382022471914
56,scitime ,Expense,617.7278401997503,349.6379525593009,-8.089887640449438,-7.515605493133575,-9.787765293383272,11.935081148564297,0.4494382022471948
57,doc2vec,Score,-0.10452722828448593,0.04275846293428186,-0.045560675231441805,0.08565114948279202,0.10555156639310763,-0.047209035406235625,0.08862055259767199
58,doc2vec,Processing_Time,8.19326301463083,26.924123851650233,4.283769989792441,7.604627424293987,3.198366791425647,2.558693433140532,0.5137801973460474
59,doc2vec,Expense,440.9663150731543,153.8482477033005,4.283769989792467,7.604627424293982,3.1983667914256624,2.5586934331405473,0.5137801973460475
60,ivis,Score,-50.90909090909091,-29.09090909090909,-14.545454545454545,-14.545454545454545,3.63636363636364,-5.454545454545447,-3.63636363636364
61,ivis,Processing_Time,331.1494663738958,199.45871419087985,-0.16851350661288036,1.6136444875657314,69.1262830005617,83.58780574988512,-4.432415870908443
62,ivis,Expense,2055.747331869479,498.9174283817597,-0.16851350661287764,1.6136444875657365,69.1262830005617,83.5878057498851,-4.432415870908448
63,ZOOpt,Score,0.5481203303390123,-0.5175845752265014,1.1068752839366622,3.1299642639987164,2.461548573218591,2.832434585430908,3.214575808996515
64,ZOOpt,Processing_Time,-0.5545524890379234,2.0247614134640015,-1.947381996388969,-0.7351044622130734,-11.000773794170774,55.02966210987873,-13.580087696672699
65,ZOOpt,Expense,397.2272375548104,104.04952282692807,-1.947381996388949,-0.7351044622130426,-11.00077379417074,55.029662109878785,-13.58008769667268
66,ATM ,Score,2.0309638754786064,-0.11320126519061327,1.8411852838355183,0.5526885300482753,3.8022307308140455,5.3803895455302175,-3.1163642417179886
67,ATM ,Processing_Time,49.71163088753606,61.18231336110222,-7.225248317846848,-5.943607818007056,-0.08010253123997836,8.186478692726686,1.5219480935597596
68,ATM ,Expense,648.5581544376803,222.3646267222044,-7.225248317846847,-5.943607818007039,-0.08010253123998264,8.186478692726705,1.5219480935597725
69,lagom,Score,101.9765730835708,-77.20488625216053,73.57990376979492,73.57990376979492,6.493203157845559,-25.31706918297755,-29.93296585229131
70,lagom,Processing_Time,63.99127589967285,33.107960741548524,-2.26099600145401,0.47982551799346224,-4.325699745547072,-3.874954561977453,11.399491094147587
71,lagom,Expense,719.9563794983641,166.21592148309708,-2.2609960014540214,0.4798255179934544,-4.325699745547076,-3.8749545619774715,11.399491094147582
72,pyglmnet,Score,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,pyglmnet,Processing_Time,17.615492300513285,69.41203919738682,-10.639290713952413,-11.175921605226314,-13.695753616425584,9.589360709286032,0.7466168922071816
74,pyglmnet,Expense,488.0774615025665,238.82407839477366,-10.6392907139524,-11.175921605226325,-13.695753616425574,9.589360709286055,0.7466168922071785
75,scikit-optimize,Score,-1.2871647955620225,-0.6748462117301142,0.0,0.0,-2.361067525113973,-6.370765550077782,-0.3432102014854308
76,scikit-optimize,Processing_Time,71.13660062565174,63.044838373305545,-0.39624608967675856,-0.5005213764337857,48.00834202294057,8.759124087591248,2.752867570385807
77,scikit-optimize,Expense,755.6830031282585,226.08967674661105,-0.3962460896767419,-0.5005213764337857,48.00834202294057,8.759124087591266,2.7528675703858156
78,starboost ,Score,-0.25570989228818797,-0.14611993845038984,-0.20091491536928316,0.03652998461260324,0.09132704372396082,-0.07305996922519492,2.0821924642823706e-06
79,starboost ,Processing_Time,66.05166051660515,205.119926199262,-19.049815498154988,-18.68081180811808,-6.457564575645767,16.789667896678974,-0.13837638376383776
80,starboost ,Expense,730.2583025830259,510.239852398524,-19.049815498154985,-18.68081180811809,-6.457564575645758,16.78966789667896,-0.13837638376384698
81,funk-svd,Score,-0.05492147736271947,0.01995520830937542,-0.05059177588206003,0.05556450233511289,-0.014846732139944257,0.011460133952120578,0.03650238426515295
82,funk-svd,Processing_Time,62.03803372802297,151.45317545748114,-16.074632221026192,-15.608180839612487,-3.0139935414424257,11.087190527448868,3.121636167922488
83,funk-svd,Expense,710.1901686401148,402.9063509149624,-16.074632221026192,-15.608180839612482,-3.013993541442405,11.087190527448882,3.1216361679225075
84,smote_variants,Score,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,smote_variants,Processing_Time,53.76598110061144,47.887715397443024,2.0566981656475773,-13.813229571984431,12.020566981656467,8.671484157865489,-3.0016675931072845
86,smote_variants,Expense,668.8299055030574,195.77543079488612,2.056698165647593,-13.81322957198442,12.02056698165649,8.671484157865489,-3.0016675931072774
87,delfi,Score,-0.01693080600929241,1.098288959541766,0.0,1.146246632526755,-0.17336601703761523,0.0,0.0
88,delfi,Processing_Time,149.67283981766494,19.241055659282427,1.5289902608871213,2.9150056348925957,29.064271416797016,34.670569040049784,4.6441607374140155
89,delfi,Expense,1148.3641990883248,138.4821113185649,1.5289902608871178,2.9150056348926174,29.064271416797038,34.6705690400498,4.644160737414013
